scenario,seed,function,sampler,grid_size,noise_sigma,weight_decay,lr,depth,width,N,l2,linf
noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,10,471,0.0022327748592942953,0.008248582482337952
noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,40,6681,0.001837381743825972,0.006076395511627197
noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,120,58441,0.0009487138595432043,0.002545073628425598
noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,10,471,0.004066346678882837,0.031969666481018066
noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,40,6681,0.0014710456598550081,0.0099562406539917
noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,120,58441,0.0015847684117034078,0.009629249572753906
seed_under_noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,10,471,0.001836670795455575,0.0054885149002075195
seed_under_noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,40,6681,0.0012966823996976018,0.003982126712799072
seed_under_noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,120,58441,0.0008923565619625151,0.002399340271949768
seed_under_noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,10,471,0.0022327748592942953,0.008248582482337952
seed_under_noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,40,6681,0.001837381743825972,0.006076395511627197
seed_under_noise=0.01,67,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,120,58441,0.0009487138595432043,0.002545073628425598
seed_under_noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,10,471,0.004066346678882837,0.031969666481018066
seed_under_noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,40,6681,0.0014710456598550081,0.0099562406539917
seed_under_noise=0.01,67,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,120,58441,0.0015847684117034078,0.009629249572753906
seed_under_noise=0.01,68,smooth,random,1000,0.01,0.0,0.001,6,10,471,0.0020226892083883286,0.007392823696136475
seed_under_noise=0.01,68,smooth,random,1000,0.01,0.0,0.001,6,40,6681,0.0008973462390713394,0.0029127001762390137
seed_under_noise=0.01,68,smooth,random,1000,0.01,0.0,0.001,6,120,58441,0.0010048877447843552,0.0034295320510864258
seed_under_noise=0.01,68,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,10,471,0.0014844727702438831,0.004350602626800537
seed_under_noise=0.01,68,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,40,6681,0.0009341628756374121,0.002449631690979004
seed_under_noise=0.01,68,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,120,58441,0.0010352208046242595,0.003670811653137207
seed_under_noise=0.01,68,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,10,471,0.003513892414048314,0.037627577781677246
seed_under_noise=0.01,68,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,40,6681,0.001685162540525198,0.01238560676574707
seed_under_noise=0.01,68,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,120,58441,0.0015485754702240229,0.009924888610839844
seed_under_noise=0.01,69,smooth,random,1000,0.01,0.0,0.001,6,10,471,0.0018400945700705051,0.009564578533172607
seed_under_noise=0.01,69,smooth,random,1000,0.01,0.0,0.001,6,40,6681,0.001012113643810153,0.002698183059692383
seed_under_noise=0.01,69,smooth,random,1000,0.01,0.0,0.001,6,120,58441,0.0010311087826266885,0.006540358066558838
seed_under_noise=0.01,69,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,10,471,0.0018575405701994896,0.009749174118041992
seed_under_noise=0.01,69,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,40,6681,0.001023286604322493,0.002995416522026062
seed_under_noise=0.01,69,piecewise_kink_poly,random,1000,0.01,0.0,0.001,6,120,58441,0.0010485887760296464,0.0067473649978637695
seed_under_noise=0.01,69,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,10,471,0.007200893014669418,0.04304790496826172
seed_under_noise=0.01,69,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,40,6681,0.001718467683531344,0.011414408683776855
seed_under_noise=0.01,69,besov_faber_schauder,random,1000,0.01,0.0,0.001,6,120,58441,0.0015529164811596274,0.008453845977783203
